Wall time,Step,Value
1637772652.157595,21361,0.0
1637773053.84641,21454,0.0
1637773057.4294367,21456,0.0
1637773072.3652623,21465,0.0
1637773079.7046363,21469,0.0
1637773082.8115017,21470,0.0
1637773094.296671,21477,0.0
1637773119.902459,21491,0.0
1637773123.4555664,21493,0.0
1637773135.033868,21498,0.0
1637773529.843255,21544,0.0
1637773541.1044898,21550,0.0
1637773612.6407182,21589,0.0
1637773619.4606972,21592,0.0
1637774919.6893754,21824,0.0
1637774962.942393,21848,0.0
1637775009.134467,21874,0.0
1637775009.5415845,21875,0.0
1637775302.7370677,21897,0.0
1637775318.1694448,21903,0.0
1637775328.3682797,21907,0.0
1637775369.3421037,21923,0.0
1637775415.096336,21946,0.0
1637775495.1241336,21990,0.0
1637775865.685161,22034,0.0
1637775884.2741373,22044,0.0
